"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f30_late_Apr","passerine sp.","passerine sp.",,,,"C","C",,"C","C",,"C","C","C",,,,,,,,,
"f30_late_Apr","WIWR","Winter Wren",,,,"S","S","S",,,"S","S",,"S","S",,,"S","S","S","S",,
"f30_late_Apr","woodpecker sp.","woodpecker sp.",,,,,,"C","C","C",,,,,,,,,,"D",,,
"f31_early_May","BTNW","Black-throated Green Warbler",,,"S","S","S","S","S",,,,,,,,,,,,,,
"f31_early_May","WIWR","Winter Wren",,,,,,,,,,"S","S","S","S","S","S",,"S",,"S","S",
"f31_early_May","YBSA","Yellow-bellied Sapsucker",,,,,"C",,,,,,,,,,,,,,,,
"f32_early_May","AMGO","American Goldfinch",,,,,,,,,,"C",,,,,,,,,,,
"f32_early_May","BCCH","Black-capped Chickadee",,,,,,,,,,,,,,,,,"C","C",,"C",
"f32_early_May","BRCR","Brown Creeper",,,,,,,,,,,,,"S","S","S","S","C","C","C","C",
"f32_early_May","DOWO","Downy Woodpecker",,,,,,,,,,,,,,,,,,"C",,,
"f32_early_May","NOPA","Northern Parula",,,,,,,,,,,,,,,"S",,"S","S",,,
"f32_early_May","passerine sp.","passerine sp.","C","C",,,,,,,,,,,"C",,,"C","C","C",,,
"f32_early_May","WIWR","Winter Wren",,,"S","S",,,"S",,,,"S","S","S","S","S","S",,,,,
"f32_early_May","WTSP","White-throated Sparrow",,,,,,"S","S",,,"S","S",,,"S",,,,"S",,,
"f32_early_May","YBSA","Yellow-bellied Sapsucker",,,,"C","C",,,,,,,,,,,,,,,,
"f32_early_May","YRWA","Yellow-rumped Warbler","S","S","S","S","S","S","S","S","S","S","S","S",,"S",,,,,,,
"f34_early_May","bird sp.","bird sp.",,,"C","C",,"C",,,,,,,,,,,,,,,"maybe robin, YRWA, maybe woodpecker? Too faint to ID"
"f34_early_May","YRWA","Yellow-rumped Warbler","S","S",,,,,,,,,,"S",,,,,,,,,
"f35_late_Apr","AMRO","American Robin","C",,,,,,,,,,,,,"C","C",,,,,,
"f35_late_Apr","passerine sp.","passerine sp.",,,,,,,,,,,,,,,"C",,,,,,"very strange- zip sound, but highish… not an actual zipper"
"f35_late_Apr","woodpecker sp.","woodpecker sp.",,,"C","C",,,,,,,,,"C","C",,,"C",,,,
"f36_early_May","bird sp.","bird sp.",,,,,"C","C",,,,,,,,,,,,,,,
"f36_early_May","passerine sp.","passerine sp.",,,,,,,"S","S","S",,"C","C","S",,,,,,,,"Maybe 3 individuals. 1) too distant to ID. 2) Maybe tail end of RCKI song? 3) high chip note"
"f36_early_May","PUFI","Purple Finch","S","S","S","S","S",,,,,"S",,,,,,"S","S",,,,
"f36_early_May","YRWA","Yellow-rumped Warbler","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S",
"f37_late_Apr","passerine sp.","passerine sp.",,"C","C",,"C","C",,"C",,"C",,,"C",,"C",,,"C",,"C","1) freep 2) high, soft chip"
"f39_late_Apr","AMRO","American Robin",,,,,,"C",,,,"C",,,,,,,,,,,
"f39_late_Apr","BCCH","Black-capped Chickadee",,,,,,,"C",,,,,"C","C",,,,,,,,
"f39_late_Apr","bird sp.","bird sp.",,,,,,"C",,,,,,,,,,,,,,,"raptor, probably"
"f39_late_Apr","BLJA","Blue Jay",,,,,,,,,,"C",,,,,,,,,,,
"f39_late_Apr","CANG","Canada Goose",,,,,,,,,,,,,"C","C","C","C","C",,,,
"f39_late_Apr","GCKI","Golden-crowned Kinglet",,,,,,,,,,"C",,,,,,,,,,,
"f39_late_Apr","passerine sp.","passerine sp.",,,,,"C","C",,,,,,,,,,,,,"C","C","light, distant chip"
"f39_late_Apr","WBNU","White-breasted Nuthatch",,,,,,,,,,"S",,,,,,,,,,,
"f39_late_Apr","woodpecker sp.","woodpecker sp.",,,,,,,,,,,,,,,"D","D","D","D",,,
"f40_early_May","AMRO","American Robin",,,,"C",,,,,,,,,,,,,,,,,
"f40_early_May","bird sp.","bird sp.",,,,"C",,,,,,,,"C",,,,,,,,,"1) woodpecker? 2) beep beep beep (faint)"
"f40_early_May","BRCR","Brown Creeper","C","C",,"C","C","C","C","C","C","C",,"C","C",,,,"C",,"C","C",
"f40_early_May","DEJU","Dark-eyed Junco",,,,,,,,,,"C",,,,,,,,,,,
"f40_early_May","WIWR","Winter Wren",,,"S","S","S","S","S","S","S",,,,,,,,,,,,
"f40_early_May","YBSA","Yellow-bellied Sapsucker",,,,,,,,,,,,"D","D",,,"C",,,"D",,
"f42_late_Apr","passerine sp.","passerine sp.",,,"C","C","C","C",,,,,,,,,,,,,,,"chip"
"f42_late_Apr","RCKI","Ruby-crowned Kinglet",,,,,,,"S","S","S",,,,,,,,"S","S","S","S",
"f44_late_Apr","bird sp.","bird sp.",,,,,,"C","C",,,,,,"C",,,"C",,,"C",,"squeaky gate- COGR?"
"f44_late_Apr","passerine sp.","passerine sp.",,,"C",,,,,,,,,,,,"C",,,,"C","C","1) high chip 2) two-note call- weird BLJA?"
"f44_late_Apr","WTSP","White-throated Sparrow","S","S","S","S",,,,,,,,,,,,,,"S",,,
"f44_late_Apr","YBSA","Yellow-bellied Sapsucker",,,,,,,,,,,"C","C",,,,,,,,,
"f45_early_May","AMRO","American Robin",,,,"C",,,,,,,,,,,,,,,,,
"f45_early_May","bird sp.","bird sp.",,,,"C",,,,,,,,,,,,,,,,,"distant call- BLJA?"
"f45_early_May","BRCR","Brown Creeper","C","C",,"C","C","C","C","C","C","C",,"C","C",,,,"C",,"C","C",
"f45_early_May","DEJU","Dark-eyed Junco",,,,,,,,,,"C",,,,,,,,,,,
"f45_early_May","WIWR","Winter Wren",,,"S","S","S","S","S","S","S",,,,,,,,,,,,
"f45_early_May","YBSA","Yellow-bellied Sapsucker",,,,,,,,,,,,"D","D",,,"C",,,"D",,
"f48_early_May","AMRO","American Robin",,,"C",,,,,"C",,"C",,,,,,,,,,,
"f48_early_May","BRCR","Brown Creeper",,"C","C","C","C","C",,,,,,,,,,,,"C",,,
"f48_early_May","GCKI","Golden-crowned Kinglet",,,,,,,,,,,"C","C",,,,,,,,,
"f48_early_May","passerine sp.","passerine sp.",,,,,,,,,,"S",,,"S",,,,,,,,"kinglet?"
"f48_early_May","RBNU","Red-breasted Nuthatch",,,"S",,,,,,,,,,,,,,,,,,
"f48_early_May","WTSP","White-throated Sparrow",,,,,,"S",,,,,,,,,,,,,,,
"f50_early_May","GCKI","Golden-crowned Kinglet",,,,,"C","C","C","C","C",,,,,,,,,,,,
"f50_early_May","passerine sp.","passerine sp.","C",,,,,,,,,,,,,"C",,,,,,,"chip note- lowish."
"f50_early_May","YRWA","Yellow-rumped Warbler",,"S","S","S",,,"S","S","S","S",,"S","S","S","S","S","S","S","S","S",
"f51_late_Apr","AMRO","American Robin",,"C",,,,,"C",,,,,,,,,,,,,,
"f51_late_Apr","BCCH","Black-capped Chickadee","S","C",,,,,,,,,,,,,,,,,,,
"f51_late_Apr","bird sp.","bird sp.",,,,,,,,,,,,,,,"C",,,,,,
"f51_late_Apr","DOWO","Downy Woodpecker",,,,,,,,"C",,,,,,,,,,,,,
"f51_late_Apr","woodpecker sp.","woodpecker sp.",,,,,,,,,,"D",,"D",,,,,,,,,
"f52_early_May","WIWR","Winter Wren","S",,,,,,,,,,,,,,,,,,,,
